stream_id	PropertyID	decoder(27)	read_as(26.1)	callers(26.1)
18	109	float	float×2	int64_t GetRoadSignMetadataForStyleQuery×1 | oid md::LabelTextStyleGroup::update×1
19	110	bool	BOOL×1	oid md::LabelTextStyleGroup::update×1
20	111	bool	BOOL×1	oid md::LabelTextStyleGroup::update×1
21	112	uint32	unsigned int×2	md::LabelStyle::prepareStyleGroup<md::LabelPointStyleGroup>×1 | md::LabelStyle::prepareStyleGroup<md::LabelAnnotationStyleGroup>×1
27	117	bool	BOOL×1	oid md::LabelTextStyleGroup::update×1
29	119	float	float×2	md::FontSizeInfo::update×2
30	120	float	float×1	md::LabelStyle::prepareStyleGroup<md::LabelLineStyleGroup>×1
31	121	float	float×1	md::LabelStyle::prepareStyleGroup<md::LabelLineStyleGroup>×1
33	123	labelTextVisibility	unsigned int×4	md::LabelCoreStyleGroup::update×1 | oid md::LabelStyle::updateZoomInvariantStyles×1 | OOL std::__function::__func<md::LabelStyle::updateZoomInvariantStyles×1 | oid md::LabelStyle::prepareAlternateStyles×1
34	124	bool	BOOL×1	md::LabelStyle::prepareStyleGroup<md::LabelPointStyleGroup>×1
35	125	uint32	unsigned int×2	oid md::LabelFeature::setStyle×1 | oid md::LabelStyle::updateZoomInvariantStyles×1
38	128	bool	BOOL×2	int64_t std::__function::__func<md::LabelStyle::updateZoomInvariantStyles×1 | md::LabelStyle::prepareStyleGroup<md::LabelLineStyleGroup>×1
40	129	bool	BOOL×2	oid md::LabelStyle::updateZoomInvariantStyles×1 | md::LabelStyle::prepareStyleGroup<md::LabelLineStyleGroup>×1
41	130	float	float×1	md::LabelStyle::prepareStyleGroup<md::LabelLineStyleGroup>×1
42	131	float	float×1	md::LabelStyle::prepareStyleGroup<md::LabelLineStyleGroup>×1
43	132	int32	int×3	oid md::MapStandardLabeler::synchronizedUpdate×1 | oid md::NavLabel::layoutForStagingWithNavContext×1 | md::LabelCoreStyleGroup::update×1
44	133	int32	int×1	md::LabelStyle::prepareStyleGroup<md::LabelLineStyleGroup>×1
50	138	polygonPlacement	unsigned int×11	oid md::layoutElevatedPolygonMeshes<md::ElevatedPolygonRenderable>×3 | oid md::layoutElevatedPolygonMeshes<md::DaVinciGroundRenderable>×3 | oid md::_layoutPolygonGroup<md::PolygonTileData>×2 | oid md::_layoutPolygonGroup<md::VenueTileData>×2 | int64_t md::_commandBufferForConfiguration×1
51	139	float	float×2	oid md::CoastlineRenderLayer::layout×1 | oid std::__function::__func<md::VenueRenderLayer::_layoutVenueWalls×1
52	140	float	float×1	oid md::CoastlineRenderLayer::layout×1
54	142	float	float×3	oid md::CoastlineRenderLayer::layout×3
55	143	float	float×3	oid md::CoastlineRenderLayer::layout×3
62	150	railroadPattern	unsigned int×3	oid anonymous namespace::addContourLinesToBatches×2 | oid md::RoadLayerDataSource::buildRoadTileData×1
70	152	float	float×1	md::LabelStyle::prepareStyleGroup<md::LabelPointStyleGroup>×1
71	153	float	float×1	md::LabelStyle::prepareStyleGroup<md::LabelPointStyleGroup>×1
72	154	float	float×1	md::LabelStyle::prepareStyleGroup<md::LabelPointStyleGroup>×1
73	155	float	float×1	md::LabelStyle::prepareStyleGroup<md::LabelPointStyleGroup>×1
74	156	float	float×1	md::LabelStyle::prepareStyleGroup<md::LabelPointStyleGroup>×1
75	157	uint32	unsigned int×1	md::LabelCoreStyleGroup::update×1
76	158	float	float×1	md::LabelCoreStyleGroup::update×1
77	159	uint32	unsigned int×1	md::LabelStyle::prepareStyleGroup<md::LabelPointStyleGroup>×1
87	164	float	float×1	md::trafficWidthForSpeedAtZ×1
98	166	float	float×1	int64_t md::LabelIconStyleGroup::update×1
100	167	labelOrientation	unsigned int×1	md::LabelCoreStyleGroup::update×1
101	168	labelOrientation	unsigned int×1	md::LabelCoreStyleGroup::update×1
102	169	labelLayoutStyle	unsigned int×1	md::LabelCoreStyleGroup::update×1
